locus_tag	ftype	length_bp	gene	EC_number	COG	product
IGKOFFHN_02362	gene	1353	entS			
IGKOFFHN_02362	CDS	1353	entS			Enterobactin exporter EntS
IGKOFFHN_02363	gene	279	higB_2			
IGKOFFHN_02363	CDS	279	higB_2	3.1.-.-		Endoribonuclease HigB
IGKOFFHN_02364	gene	288	yddM			
IGKOFFHN_02364	CDS	288	yddM		COG3093	putative HTH-type transcriptional regulator YddM
IGKOFFHN_02365	gene	552	yajL			
IGKOFFHN_02365	CDS	552	yajL	3.1.2.-	COG0693	Protein/nucleic acid deglycase 3
IGKOFFHN_02366	gene	450				
IGKOFFHN_02366	CDS	450				hypothetical protein
IGKOFFHN_02367	gene	1296	adeP_1			
IGKOFFHN_02367	CDS	1296	adeP_1		COG2252	Adenine permease AdeP
IGKOFFHN_02368	gene	1080	trmA			
IGKOFFHN_02368	CDS	1080	trmA	2.1.1.-	COG2265	tRNA/tmRNA (uracil-C(5))-methyltransferase
IGKOFFHN_02369	gene	447				
IGKOFFHN_02369	CDS	447				hypothetical protein
IGKOFFHN_02370	gene	429				
IGKOFFHN_02370	CDS	429				hypothetical protein
IGKOFFHN_02371	gene	912	pgrR_1			
IGKOFFHN_02371	CDS	912	pgrR_1			HTH-type transcriptional regulator PgrR
IGKOFFHN_02372	gene	450	aroQ			
IGKOFFHN_02372	CDS	450	aroQ	4.2.1.10	COG0757	3-dehydroquinate dehydratase
IGKOFFHN_02373	gene	855	aroE_1			
IGKOFFHN_02373	CDS	855	aroE_1	1.1.1.-		Quinate/shikimate dehydrogenase (NAD(+))
IGKOFFHN_02374	gene	678	nicS			
IGKOFFHN_02374	CDS	678	nicS			HTH-type transcriptional repressor NicS
IGKOFFHN_02375	gene	1902				
IGKOFFHN_02375	CDS	1902				hypothetical protein
IGKOFFHN_02376	gene	1338	exuT_1			
IGKOFFHN_02376	CDS	1338	exuT_1			Hexuronate transporter
IGKOFFHN_02377	gene	879	ribN			
IGKOFFHN_02377	CDS	879	ribN			Riboflavin transporter
IGKOFFHN_02378	gene	816				
IGKOFFHN_02378	CDS	816				hypothetical protein
IGKOFFHN_02379	gene	1062	iolX			
IGKOFFHN_02379	CDS	1062	iolX	1.1.1.370	COG0673	scyllo-inositol 2-dehydrogenase (NAD(+))
IGKOFFHN_02380	gene	777	xynR_2			
IGKOFFHN_02380	CDS	777	xynR_2		COG1414	HTH-type transcriptional regulator XynR
IGKOFFHN_02381	gene	1737	kstD			
IGKOFFHN_02381	CDS	1737	kstD	1.3.99.4	COG1053	3-oxosteroid 1-dehydrogenase
IGKOFFHN_02382	gene	834	dkgB_1			
IGKOFFHN_02382	CDS	834	dkgB_1	1.1.1.346	COG0656	2,5-diketo-D-gluconic acid reductase B
IGKOFFHN_02383	gene	888				
IGKOFFHN_02383	CDS	888			COG2321	putative protein
IGKOFFHN_02384	gene	954				
IGKOFFHN_02384	CDS	954				hypothetical protein
IGKOFFHN_02385	gene	594	gph_2			
IGKOFFHN_02385	CDS	594	gph_2	3.1.3.18	COG0546	Phosphoglycolate phosphatase
IGKOFFHN_02386	gene	870	tesB			
IGKOFFHN_02386	CDS	870	tesB	3.1.2.-	COG1946	Acyl-CoA thioesterase 2
IGKOFFHN_02387	gene	570				
IGKOFFHN_02387	CDS	570		2.3.1.-	COG1670	Acetyltransferase
IGKOFFHN_02388	gene	921				
IGKOFFHN_02388	CDS	921				hypothetical protein
IGKOFFHN_02389	gene	1290	baiN			
IGKOFFHN_02389	CDS	1290	baiN	1.3.1.114	COG2081	3-dehydro-bile acid delta(4,6)-reductase
IGKOFFHN_02390	gene	1341	rhlE_2			
IGKOFFHN_02390	CDS	1341	rhlE_2	3.6.4.13	COG0513	ATP-dependent RNA helicase RhlE
IGKOFFHN_02391	gene	951	yedA			
IGKOFFHN_02391	CDS	951	yedA			putative inner membrane transporter YedA
IGKOFFHN_02392	gene	462	lrpC_1			
IGKOFFHN_02392	CDS	462	lrpC_1		COG1522	HTH-type transcriptional regulator LrpC
IGKOFFHN_02393	gene	642				
IGKOFFHN_02393	CDS	642				hypothetical protein
IGKOFFHN_02394	gene	1383				
IGKOFFHN_02394	CDS	1383				hypothetical protein
IGKOFFHN_02395	gene	612	polC_2			
IGKOFFHN_02395	CDS	612	polC_2	2.7.7.7	COG2176	DNA polymerase III PolC-type
IGKOFFHN_02396	gene	480				
IGKOFFHN_02396	CDS	480				hypothetical protein
IGKOFFHN_02397	gene	759				
IGKOFFHN_02397	CDS	759				hypothetical protein
IGKOFFHN_02398	gene	762				
IGKOFFHN_02398	CDS	762				hypothetical protein
IGKOFFHN_02399	gene	1077				
IGKOFFHN_02399	CDS	1077				hypothetical protein
IGKOFFHN_02400	gene	837	nrtD_2			
IGKOFFHN_02400	CDS	837	nrtD_2	7.3.2.4	COG1116	Nitrate import ATP-binding protein NrtD
IGKOFFHN_02401	gene	804	ssuC_4			
IGKOFFHN_02401	CDS	804	ssuC_4		COG0600	Putative aliphatic sulfonates transport permease protein SsuC
IGKOFFHN_02402	gene	978				
IGKOFFHN_02402	CDS	978				hypothetical protein
IGKOFFHN_02403	gene	1371	spuC_2			
IGKOFFHN_02403	CDS	1371	spuC_2	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
IGKOFFHN_02404	gene	1494	puuC_2			
IGKOFFHN_02404	CDS	1494	puuC_2	1.2.1.5	COG1012	NADP/NAD-dependent aldehyde dehydrogenase PuuC
IGKOFFHN_02405	gene	915	gltC_4			
IGKOFFHN_02405	CDS	915	gltC_4			HTH-type transcriptional regulator GltC
IGKOFFHN_02406	gene	2520	hrpB			
IGKOFFHN_02406	CDS	2520	hrpB	3.6.4.13	COG1643	ATP-dependent RNA helicase HrpB
IGKOFFHN_02407	gene	420				
IGKOFFHN_02407	CDS	420				hypothetical protein
IGKOFFHN_02408	gene	897	fieF			
IGKOFFHN_02408	CDS	897	fieF		COG0053	Ferrous-iron efflux pump FieF
IGKOFFHN_02409	gene	1050				
IGKOFFHN_02409	CDS	1050				hypothetical protein
IGKOFFHN_02410	gene	480	lrp_4			
IGKOFFHN_02410	CDS	480	lrp_4		COG1522	Leucine-responsive regulatory protein
IGKOFFHN_02411	gene	210				
IGKOFFHN_02411	CDS	210				hypothetical protein
IGKOFFHN_02412	gene	636	rluE			
IGKOFFHN_02412	CDS	636	rluE	5.4.99.20	COG1187	Ribosomal large subunit pseudouridine synthase E
IGKOFFHN_02413	gene	1464	amn			
IGKOFFHN_02413	CDS	1464	amn	3.2.2.4	COG0775	AMP nucleosidase
IGKOFFHN_02414	gene	1650	aidB			
IGKOFFHN_02414	CDS	1650	aidB	1.3.99.-	COG1960	Putative acyl-CoA dehydrogenase AidB
IGKOFFHN_02415	gene	2349	rcsC_12			
IGKOFFHN_02415	CDS	2349	rcsC_12	2.7.13.3		Sensor histidine kinase RcsC
IGKOFFHN_02416	gene	798	thiD			
IGKOFFHN_02416	CDS	798	thiD	2.7.1.49		Hydroxymethylpyrimidine/phosphomethylpyrimidine kinase
IGKOFFHN_02417	gene	624	thiE_2			
IGKOFFHN_02417	CDS	624	thiE_2	2.5.1.3	COG0352	Thiamine-phosphate synthase
IGKOFFHN_02418	gene	1284	hemL			
IGKOFFHN_02418	CDS	1284	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
IGKOFFHN_02419	gene	555				
IGKOFFHN_02419	CDS	555				hypothetical protein
IGKOFFHN_02420	gene	330				
IGKOFFHN_02420	CDS	330				hypothetical protein
IGKOFFHN_02421	gene	1329	miaB			
IGKOFFHN_02421	CDS	1329	miaB	2.8.4.3	COG0621	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase
IGKOFFHN_02422	gene	1005	ybeZ			
IGKOFFHN_02422	CDS	1005	ybeZ		COG1702	PhoH-like protein
IGKOFFHN_02423	gene	495	ybeY			
IGKOFFHN_02423	CDS	495	ybeY	3.1.-.-	COG0319	Endoribonuclease YbeY
IGKOFFHN_02424	gene	840	corC			
IGKOFFHN_02424	CDS	840	corC		COG4535	Magnesium and cobalt efflux protein CorC
IGKOFFHN_02425	gene	1524	lnt			
IGKOFFHN_02425	CDS	1524	lnt	2.3.1.269	COG0815	Apolipoprotein N-acyltransferase
IGKOFFHN_02426	gene	780				
IGKOFFHN_02426	CDS	780				hypothetical protein
IGKOFFHN_02427	gene	324				
IGKOFFHN_02427	CDS	324				hypothetical protein
IGKOFFHN_02428	gene	2607	leuS			
IGKOFFHN_02428	CDS	2607	leuS	6.1.1.4		Leucine--tRNA ligase
IGKOFFHN_02429	gene	606	lptE			
IGKOFFHN_02429	CDS	606	lptE			LPS-assembly lipoprotein LptE
IGKOFFHN_02430	gene	1038	holA			
IGKOFFHN_02430	CDS	1038	holA	2.7.7.7	COG1466	DNA polymerase III subunit delta
IGKOFFHN_02431	gene	165				
IGKOFFHN_02431	CDS	165				hypothetical protein
IGKOFFHN_02432	gene	1323				
IGKOFFHN_02432	CDS	1323				hypothetical protein
IGKOFFHN_02433	gene	948	ykfA			
IGKOFFHN_02433	CDS	948	ykfA	3.4.16.-	COG1619	putative murein peptide carboxypeptidase
IGKOFFHN_02434	gene	1023	lipA			
IGKOFFHN_02434	CDS	1023	lipA	2.8.1.8	COG0320	Lipoyl synthase
IGKOFFHN_02435	gene	648	lipB			
IGKOFFHN_02435	CDS	648	lipB	2.3.1.181	COG0321	Octanoyltransferase
IGKOFFHN_02436	gene	276				
IGKOFFHN_02436	CDS	276				hypothetical protein
IGKOFFHN_02437	gene	1158	dacC			
IGKOFFHN_02437	CDS	1158	dacC	3.4.16.4	COG1686	D-alanyl-D-alanine carboxypeptidase DacC
IGKOFFHN_02438	gene	1008	rlpA_2			
IGKOFFHN_02438	CDS	1008	rlpA_2	4.2.2.-		Endolytic peptidoglycan transglycosylase RlpA
IGKOFFHN_02439	gene	1011	mltB			
IGKOFFHN_02439	CDS	1011	mltB	4.2.2.-	COG2951	Membrane-bound lytic murein transglycosylase B
IGKOFFHN_02440	gene	1143	mrdB			
IGKOFFHN_02440	CDS	1143	mrdB	2.4.1.129	COG0772	Peptidoglycan glycosyltransferase MrdB
IGKOFFHN_02441	gene	1896	mrdA_1			
IGKOFFHN_02441	CDS	1896	mrdA_1	3.4.16.4	COG0768	Peptidoglycan D,D-transpeptidase MrdA
IGKOFFHN_02442	gene	468	rlmH			
IGKOFFHN_02442	CDS	468	rlmH	2.1.1.177	COG1576	Ribosomal RNA large subunit methyltransferase H
IGKOFFHN_02443	gene	495	rsfS			
IGKOFFHN_02443	CDS	495	rsfS			Ribosomal silencing factor RsfS
IGKOFFHN_02444	gene	723	nadD			
IGKOFFHN_02444	CDS	723	nadD	2.7.7.18	COG1057	putative nicotinate-nucleotide adenylyltransferase
IGKOFFHN_02445	gene	1272	proA_1			
IGKOFFHN_02445	CDS	1272	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
IGKOFFHN_02446	gene	696				
IGKOFFHN_02446	CDS	696		3.2.2.-		Putative 3-methyladenine DNA glycosylase
IGKOFFHN_02447	gene	1317				
IGKOFFHN_02447	CDS	1317				hypothetical protein
IGKOFFHN_02448	gene	579				
IGKOFFHN_02448	CDS	579				hypothetical protein
IGKOFFHN_02449	gene	210				
IGKOFFHN_02449	CDS	210				hypothetical protein
IGKOFFHN_02450	gene	3333				
IGKOFFHN_02450	CDS	3333				hypothetical protein
IGKOFFHN_02451	gene	1671				
IGKOFFHN_02451	CDS	1671				hypothetical protein
IGKOFFHN_02452	gene	591				
IGKOFFHN_02452	CDS	591				hypothetical protein
IGKOFFHN_02453	gene	717	yohK_2			
IGKOFFHN_02453	CDS	717	yohK_2		COG1346	Inner membrane protein YohK
IGKOFFHN_02454	gene	363	cidA_2			
IGKOFFHN_02454	CDS	363	cidA_2			Holin-like protein CidA
IGKOFFHN_02455	gene	456				
IGKOFFHN_02455	CDS	456		4.2.1.17	COG2030	putative enoyl-CoA hydratase 1
IGKOFFHN_02456	gene	1728				
IGKOFFHN_02456	CDS	1728				hypothetical protein
IGKOFFHN_02457	gene	642				
IGKOFFHN_02457	CDS	642				hypothetical protein
IGKOFFHN_02458	gene	2586				
IGKOFFHN_02458	CDS	2586				hypothetical protein
IGKOFFHN_02459	gene	285				
IGKOFFHN_02459	CDS	285				hypothetical protein
IGKOFFHN_02460	gene	648	ubiX			
IGKOFFHN_02460	CDS	648	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
IGKOFFHN_02461	gene	1350	mpl			
IGKOFFHN_02461	CDS	1350	mpl	6.3.2.45	COG0773	UDP-N-acetylmuramate--L-alanyl-gamma-D-glutamyl-meso-2,6-diaminoheptandioate ligase
IGKOFFHN_02462	gene	1920	acoR_1			
IGKOFFHN_02462	CDS	1920	acoR_1		COG3284	Acetoin catabolism regulatory protein
IGKOFFHN_02463	gene	1521	adh_1			
IGKOFFHN_02463	CDS	1521	adh_1	1.2.1.3	COG1012	Aldehyde dehydrogenase
IGKOFFHN_02464	gene	1371	yhdG_1			
IGKOFFHN_02464	CDS	1371	yhdG_1		COG0531	putative amino acid permease YhdG
IGKOFFHN_02465	gene	1395	eutB			
IGKOFFHN_02465	CDS	1395	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
IGKOFFHN_02466	gene	834	eutC			
IGKOFFHN_02466	CDS	834	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
IGKOFFHN_02467	gene	462				
IGKOFFHN_02467	CDS	462				hypothetical protein
IGKOFFHN_02468	gene	651	dedA			
IGKOFFHN_02468	CDS	651	dedA		COG0586	Protein DedA
IGKOFFHN_02469	gene	813	mtfA			
IGKOFFHN_02469	CDS	813	mtfA		COG3228	Protein MtfA
IGKOFFHN_02470	gene	528	ppa			
IGKOFFHN_02470	CDS	528	ppa	3.6.1.1	COG0221	Inorganic pyrophosphatase
IGKOFFHN_02471	gene	741	prtR_1			
IGKOFFHN_02471	CDS	741	prtR_1		COG2932	HTH-type transcriptional regulator PrtR
IGKOFFHN_02472	gene	921	mrr			
IGKOFFHN_02472	CDS	921	mrr		COG1715	Mrr restriction system protein
IGKOFFHN_02473	gene	582				
IGKOFFHN_02473	CDS	582				hypothetical protein
IGKOFFHN_02474	gene	645				
IGKOFFHN_02474	CDS	645				hypothetical protein
IGKOFFHN_02475	gene	1086				
IGKOFFHN_02475	CDS	1086				hypothetical protein
IGKOFFHN_02476	gene	561				
IGKOFFHN_02476	CDS	561				hypothetical protein
IGKOFFHN_02477	gene	435				
IGKOFFHN_02477	CDS	435				hypothetical protein
IGKOFFHN_02478	gene	813				
IGKOFFHN_02478	CDS	813				hypothetical protein
IGKOFFHN_02479	gene	1620				
IGKOFFHN_02479	CDS	1620				hypothetical protein
IGKOFFHN_02480	gene	4566				
IGKOFFHN_02480	CDS	4566				hypothetical protein
IGKOFFHN_02481	gene	639				
IGKOFFHN_02481	CDS	639				hypothetical protein
IGKOFFHN_02482	gene	1725				
IGKOFFHN_02482	CDS	1725				hypothetical protein
IGKOFFHN_02483	gene	792				
IGKOFFHN_02483	CDS	792				hypothetical protein
IGKOFFHN_02484	gene	1146				
IGKOFFHN_02484	CDS	1146				hypothetical protein
IGKOFFHN_02485	gene	243	xseB			
IGKOFFHN_02485	CDS	243	xseB	3.1.11.6	COG1722	Exodeoxyribonuclease 7 small subunit
IGKOFFHN_02486	gene	888	ispA			
IGKOFFHN_02486	CDS	888	ispA	2.5.1.10	COG0142	Farnesyl diphosphate synthase
IGKOFFHN_02487	gene	1899	dxs			
IGKOFFHN_02487	CDS	1899	dxs	2.2.1.7	COG1154	1-deoxy-D-xylulose-5-phosphate synthase
IGKOFFHN_02488	gene	1818	btuB_4			
IGKOFFHN_02488	CDS	1818	btuB_4		COG4206	Vitamin B12 transporter BtuB
IGKOFFHN_02489	gene	801	btuF_2			
IGKOFFHN_02489	CDS	801	btuF_2		COG0614	Vitamin B12-binding protein
IGKOFFHN_02490	gene	420				
IGKOFFHN_02490	CDS	420				hypothetical protein
IGKOFFHN_02491	gene	618				
IGKOFFHN_02491	CDS	618				Riboflavin biosynthesis protein
IGKOFFHN_02492	gene	726				
IGKOFFHN_02492	CDS	726				hypothetical protein
IGKOFFHN_02493	gene	504	pgpA			
IGKOFFHN_02493	CDS	504	pgpA	3.1.3.27	COG1267	Phosphatidylglycerophosphatase A
IGKOFFHN_02494	gene	966	thiL			
IGKOFFHN_02494	CDS	966	thiL	2.7.4.16	COG0611	Thiamine-monophosphate kinase
IGKOFFHN_02495	gene	501	nusB			
IGKOFFHN_02495	CDS	501	nusB			Transcription antitermination protein NusB
IGKOFFHN_02496	gene	477	ribH_1			
IGKOFFHN_02496	CDS	477	ribH_1	2.5.1.78		6,7-dimethyl-8-ribityllumazine synthase
IGKOFFHN_02497	gene	1092	ribBA_1			
IGKOFFHN_02497	CDS	1092	ribBA_1		COG0108	Riboflavin biosynthesis protein RibBA
IGKOFFHN_02498	gene	678	ribE			
IGKOFFHN_02498	CDS	678	ribE	2.5.1.9		Riboflavin synthase
IGKOFFHN_02499	gene	1134	ribD			
IGKOFFHN_02499	CDS	1134	ribD		COG0117	Riboflavin biosynthesis protein RibD
IGKOFFHN_02500	gene	465	nrdR			
IGKOFFHN_02500	CDS	465	nrdR		COG1327	Transcriptional repressor NrdR
IGKOFFHN_02501	gene	465				
IGKOFFHN_02501	CDS	465				hypothetical protein
IGKOFFHN_02502	gene	657				
IGKOFFHN_02502	CDS	657				hypothetical protein
IGKOFFHN_02503	gene	873	cnoX			
IGKOFFHN_02503	CDS	873	cnoX		COG3118	Chaperedoxin
IGKOFFHN_02504	gene	360				
IGKOFFHN_02504	CDS	360				hypothetical protein
IGKOFFHN_02505	gene	597				
IGKOFFHN_02505	CDS	597				hypothetical protein
IGKOFFHN_02506	gene	711				
IGKOFFHN_02506	CDS	711			COG1136	putative ABC transporter ATP-binding protein
IGKOFFHN_02507	gene	1266				
IGKOFFHN_02507	CDS	1266				hypothetical protein
IGKOFFHN_02508	gene	519				
IGKOFFHN_02508	CDS	519				hypothetical protein
IGKOFFHN_02509	gene	699	ompW			
IGKOFFHN_02509	CDS	699	ompW		COG3047	Outer membrane protein W
IGKOFFHN_02510	gene	930				
IGKOFFHN_02510	CDS	930		5.1.3.2	COG1088	UDP-glucose 4-epimerase
IGKOFFHN_02511	gene	870	rmlD			
IGKOFFHN_02511	CDS	870	rmlD	1.1.1.133		dTDP-4-dehydrorhamnose reductase
IGKOFFHN_02512	gene	4332	cshB			
IGKOFFHN_02512	CDS	4332	cshB	3.6.4.13		DEAD-box ATP-dependent RNA helicase CshB
IGKOFFHN_02513	gene	2106				
IGKOFFHN_02513	CDS	2106				hypothetical protein
IGKOFFHN_02514	gene	1212	ydhP_2			
IGKOFFHN_02514	CDS	1212	ydhP_2		COG2814	Inner membrane transport protein YdhP
IGKOFFHN_02515	gene	927				
IGKOFFHN_02515	CDS	927				hypothetical protein
IGKOFFHN_02516	gene	798				
IGKOFFHN_02516	CDS	798				hypothetical protein
IGKOFFHN_02517	gene	1287	clsB			
IGKOFFHN_02517	CDS	1287	clsB	2.7.8.-	COG1502	Cardiolipin synthase B
IGKOFFHN_02518	gene	1002	ybhN			
IGKOFFHN_02518	CDS	1002	ybhN		COG0392	Inner membrane protein YbhN
IGKOFFHN_02519	gene	759				
IGKOFFHN_02519	CDS	759				hypothetical protein
IGKOFFHN_02520	gene	1107				
IGKOFFHN_02520	CDS	1107				hypothetical protein
IGKOFFHN_02521	gene	996	rhaS_8			
IGKOFFHN_02521	CDS	996	rhaS_8			HTH-type transcriptional activator RhaS
IGKOFFHN_02522	gene	555	sttH_1			
IGKOFFHN_02522	CDS	555	sttH_1	3.5.2.19		Streptothricin hydrolase
IGKOFFHN_02523	gene	669				
IGKOFFHN_02523	CDS	669				hypothetical protein
IGKOFFHN_02524	gene	699				
IGKOFFHN_02524	CDS	699				hypothetical protein
IGKOFFHN_02525	gene	651				
IGKOFFHN_02525	CDS	651				hypothetical protein
IGKOFFHN_02526	gene	426				
IGKOFFHN_02526	CDS	426				hypothetical protein
IGKOFFHN_02527	gene	693				
IGKOFFHN_02527	CDS	693				hypothetical protein
IGKOFFHN_02528	gene	1158	yjfC			
IGKOFFHN_02528	CDS	1158	yjfC	6.3.1.-	COG0754	Putative acid--amine ligase YjfC
IGKOFFHN_02529	gene	519	ssb			
IGKOFFHN_02529	CDS	519	ssb		COG0629	Single-stranded DNA-binding protein
IGKOFFHN_02530	gene	1398	yajR			
IGKOFFHN_02530	CDS	1398	yajR		COG0477	Inner membrane transport protein YajR
IGKOFFHN_02531	gene	2835	uvrA_2			
IGKOFFHN_02531	CDS	2835	uvrA_2		COG0178	UvrABC system protein A
IGKOFFHN_02532	gene	468	bfr_2			
IGKOFFHN_02532	CDS	468	bfr_2	1.16.3.1	COG2193	Bacterioferritin
IGKOFFHN_02533	gene	1455	cat			
IGKOFFHN_02533	CDS	1455	cat	1.11.1.6		Catalase
IGKOFFHN_02534	gene	387	rplQ			
IGKOFFHN_02534	CDS	387	rplQ		COG0203	50S ribosomal protein L17
IGKOFFHN_02535	gene	1002	rpoA			
IGKOFFHN_02535	CDS	1002	rpoA	2.7.7.6		DNA-directed RNA polymerase subunit alpha
IGKOFFHN_02536	gene	621	rpsD			
IGKOFFHN_02536	CDS	621	rpsD		COG0522	30S ribosomal protein S4
IGKOFFHN_02537	gene	390	rpsK			
IGKOFFHN_02537	CDS	390	rpsK		COG0100	30S ribosomal protein S11
IGKOFFHN_02538	gene	357	rpsM			
IGKOFFHN_02538	CDS	357	rpsM		COG0099	30S ribosomal protein S13
IGKOFFHN_02539	gene	1329	secY			
IGKOFFHN_02539	CDS	1329	secY		COG0201	Protein translocase subunit SecY
IGKOFFHN_02540	gene	438	rplO			
IGKOFFHN_02540	CDS	438	rplO		COG0200	50S ribosomal protein L15
IGKOFFHN_02541	gene	177	rpmD			
IGKOFFHN_02541	CDS	177	rpmD		COG1841	50S ribosomal protein L30
IGKOFFHN_02542	gene	501	rpsE			
IGKOFFHN_02542	CDS	501	rpsE		COG0098	30S ribosomal protein S5
IGKOFFHN_02543	gene	351	rplR			
IGKOFFHN_02543	CDS	351	rplR		COG0256	50S ribosomal protein L18
IGKOFFHN_02544	gene	534	rplF			
IGKOFFHN_02544	CDS	534	rplF		COG0097	50S ribosomal protein L6
IGKOFFHN_02545	gene	393	rpsH			
IGKOFFHN_02545	CDS	393	rpsH		COG0096	30S ribosomal protein S8
IGKOFFHN_02546	gene	306	rpsN			
IGKOFFHN_02546	CDS	306	rpsN		COG0199	30S ribosomal protein S14
IGKOFFHN_02547	gene	540	rplE			
IGKOFFHN_02547	CDS	540	rplE		COG0094	50S ribosomal protein L5
IGKOFFHN_02548	gene	315	rplX			
IGKOFFHN_02548	CDS	315	rplX		COG0198	50S ribosomal protein L24
IGKOFFHN_02549	gene	369	rplN			
IGKOFFHN_02549	CDS	369	rplN		COG0093	50S ribosomal protein L14
IGKOFFHN_02550	gene	267	rpsQ			
IGKOFFHN_02550	CDS	267	rpsQ		COG0186	30S ribosomal protein S17
IGKOFFHN_02551	gene	192	rpmC			
IGKOFFHN_02551	CDS	192	rpmC		COG0255	50S ribosomal protein L29
IGKOFFHN_02552	gene	414	rplP			
IGKOFFHN_02552	CDS	414	rplP		COG0197	50S ribosomal protein L16
IGKOFFHN_02553	gene	687	rpsC			
IGKOFFHN_02553	CDS	687	rpsC		COG0092	30S ribosomal protein S3
IGKOFFHN_02554	gene	333	rplV			
IGKOFFHN_02554	CDS	333	rplV		COG0091	50S ribosomal protein L22
IGKOFFHN_02555	gene	276	rpsS			
IGKOFFHN_02555	CDS	276	rpsS		COG0185	30S ribosomal protein S19
IGKOFFHN_02556	gene	825	rplB			
IGKOFFHN_02556	CDS	825	rplB		COG0090	50S ribosomal protein L2
IGKOFFHN_02557	gene	300	rplW			
IGKOFFHN_02557	CDS	300	rplW		COG0089	50S ribosomal protein L23
IGKOFFHN_02558	gene	603	rplD			
IGKOFFHN_02558	CDS	603	rplD		COG0088	50S ribosomal protein L4
IGKOFFHN_02559	gene	636	rplC			
IGKOFFHN_02559	CDS	636	rplC		COG0087	50S ribosomal protein L3
IGKOFFHN_02560	gene	312	rpsJ			
IGKOFFHN_02560	CDS	312	rpsJ		COG0051	30S ribosomal protein S10
IGKOFFHN_02561	gene	1194	tufA_1			
IGKOFFHN_02561	CDS	1194	tufA_1		COG0050	Elongation factor Tu-A
IGKOFFHN_02562	gene	2106	fusA			
IGKOFFHN_02562	CDS	2106	fusA		COG0480	Elongation factor G 1
IGKOFFHN_02563	gene	474	rpsG			
IGKOFFHN_02563	CDS	474	rpsG		COG0049	30S ribosomal protein S7
IGKOFFHN_02564	gene	372	rpsL			
IGKOFFHN_02564	CDS	372	rpsL		COG0048	30S ribosomal protein S12
IGKOFFHN_02565	gene	4200	rpoC			
IGKOFFHN_02565	CDS	4200	rpoC	2.7.7.6	COG0086	DNA-directed RNA polymerase subunit beta'
IGKOFFHN_02566	gene	4074	rpoB			
IGKOFFHN_02566	CDS	4074	rpoB	2.7.7.6	COG0085	DNA-directed RNA polymerase subunit beta
IGKOFFHN_02567	gene	366	rplL			
IGKOFFHN_02567	CDS	366	rplL			50S ribosomal protein L7/L12
IGKOFFHN_02568	gene	501	rplJ			
IGKOFFHN_02568	CDS	501	rplJ		COG0244	50S ribosomal protein L10
IGKOFFHN_02569	gene	696	rplA			
IGKOFFHN_02569	CDS	696	rplA		COG0081	50S ribosomal protein L1
IGKOFFHN_02570	gene	432	rplK			
IGKOFFHN_02570	CDS	432	rplK		COG0080	50S ribosomal protein L11
IGKOFFHN_02571	gene	534	nusG			
IGKOFFHN_02571	CDS	534	nusG		COG0250	Transcription termination/antitermination protein NusG
IGKOFFHN_02572	gene	369	secE			
IGKOFFHN_02572	CDS	369	secE		COG0690	Protein translocase subunit SecE
IGKOFFHN_02573	gene	76				
IGKOFFHN_02573	tRNA	76				tRNA-Trp(cca)
IGKOFFHN_02574	gene	1194	tufA_2			
IGKOFFHN_02574	CDS	1194	tufA_2		COG0050	Elongation factor Tu-A
IGKOFFHN_02575	gene	76				
IGKOFFHN_02575	tRNA	76				tRNA-Thr(ggt)
IGKOFFHN_02576	gene	74				
IGKOFFHN_02576	tRNA	74				tRNA-Gly(tcc)
IGKOFFHN_02577	gene	85				
IGKOFFHN_02577	tRNA	85				tRNA-Tyr(gta)
IGKOFFHN_02578	gene	441				
IGKOFFHN_02578	CDS	441				hypothetical protein
IGKOFFHN_02579	gene	750	coaX			
IGKOFFHN_02579	CDS	750	coaX	2.7.1.33	COG1521	Type III pantothenate kinase
IGKOFFHN_02580	gene	954	birA			
IGKOFFHN_02580	CDS	954	birA	6.3.4.15	COG0340	Bifunctional ligase/repressor BirA
IGKOFFHN_02581	gene	618				
IGKOFFHN_02581	CDS	618				hypothetical protein
IGKOFFHN_02582	gene	1233				
IGKOFFHN_02582	CDS	1233				hypothetical protein
IGKOFFHN_02583	gene	915				
IGKOFFHN_02583	CDS	915				hypothetical protein
IGKOFFHN_02584	gene	582	yraA_2			
IGKOFFHN_02584	CDS	582	yraA_2	3.2.-.-	COG0693	Putative cysteine protease YraA
IGKOFFHN_02585	gene	345				
IGKOFFHN_02585	CDS	345				hypothetical protein
IGKOFFHN_02586	gene	882	dapA_1			
IGKOFFHN_02586	CDS	882	dapA_1	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
IGKOFFHN_02587	gene	783	cloR			
IGKOFFHN_02587	CDS	783	cloR	1.13.11.83		4-hydroxy-3-prenylphenylpyruvate oxygenase/4-hydroxy-3-prenylbenzoate synthase
IGKOFFHN_02588	gene	543				
IGKOFFHN_02588	CDS	543				hypothetical protein
IGKOFFHN_02589	gene	1020				
